,Organism,plasmidAccId,plasmidLength,chromosomeAccId,chromosomeLength,plasmidGC,plasmidGC,chromosmeGC
9140,Klebsiella pneumoniae (enterobacteria),NZ_CP024569.1,3825,NZ_CP024563.1,5293333,46.48,46.48,57.48
9141,Escherichia coli (E. coli),NZ_CP010239.1,184614,NZ_CP010238.1,4797106,50.65,50.65,50.71
9142,Vibrio campbellii (g-proteobacteria),NZ_CP020078.1,70066,NZ_CP020076.1,3621712,45.9,45.9,45.56
9143,Vibrio campbellii (g-proteobacteria),NZ_CP020079.1,204531,NZ_CP020076.1,3621712,41.41,41.41,45.56
9144,Vibrio campbellii (g-proteobacteria),NZ_CP020080.1,143140,NZ_CP020076.1,3621712,42.3,42.3,45.56
9145,Vibrio campbellii (g-proteobacteria),NZ_CP020081.1,86121,NZ_CP020076.1,3621712,39.56,39.56,45.56
9146,Acinetobacter baumannii (g-proteobacteria),NZ_CP023021.1,9024,NZ_CP023020.1,4119128,34.71,34.71,39.13
9147,Klebsiella pneumoniae subsp. pneumoniae (enterobacteria),NZ_CP009877.1,15100,NZ_CP009876.1,5228295,53.54,53.54,57.51
9148,Klebsiella pneumoniae subsp. pneumoniae (enterobacteria),NZ_CP009878.1,51622,NZ_CP009876.1,5228295,53.49,53.49,57.51
9149,Klebsiella pneumoniae subsp. pneumoniae (enterobacteria),NZ_CP009879.1,178563,NZ_CP009876.1,5228295,51.52,51.52,57.51
9150,Xanthomonas citri pv. phaseoli var. fuscans (g-proteobacteria),NZ_CP020990.1,66844,NZ_CP020989.1,5078988,61.37,61.37,64.77
9151,Rhodococcus jostii RHA1 (high GC Gram+),NC_008269.1,1123075,NC_008268.1,7804765,65.05,65.05,67.52
9152,Rhodococcus jostii RHA1 (high GC Gram+),NC_008270.1,442536,NC_008268.1,7804765,64.01,64.01,67.52
9153,Rhodococcus jostii RHA1 (high GC Gram+),NC_008271.1,332361,NC_008268.1,7804765,64.91,64.91,67.52
9154,Escherichia coli (E. coli),NZ_CP018955.1,101186,NZ_CP018957.1,5056072,51.95,51.95,50.64
9155,Escherichia coli (E. coli),NZ_CP018954.1,97654,NZ_CP018957.1,5056072,53.55,53.55,50.64
9156,Escherichia coli (E. coli),NZ_CP018956.1,216226,NZ_CP018957.1,5056072,53.25,53.25,50.64
9157,Rhizobium jaguaris (a-proteobacteria),NZ_CP032697.1,314764,NZ_CP032694.1,4575315,59.08,59.08,59.71
9158,Rhizobium jaguaris (a-proteobacteria),NZ_CP032696.1,550563,NZ_CP032694.1,4575315,57.62,57.62,59.71
9159,Rhizobium jaguaris (a-proteobacteria),NZ_CP032695.1,2584926,NZ_CP032694.1,4575315,59.37,59.37,59.71
9160,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 (enterobacteria),NC_006625.1,224152,NC_012731.1,5248520,50.17,50.17,57.68
9161,Xanthomonas citri pv. phaseoli var. fuscans (g-proteobacteria),NZ_CP020986.1,67239,NZ_CP020985.1,5232548,61.23,61.23,64.62
9162,Listeria monocytogenes (firmicutes),NZ_CP025441.1,63182,NZ_CP025440.1,3030581,36.15,36.15,38.02
9163,Escherichia coli (E. coli),NZ_CP010120.1,63684,NZ_CP010119.1,5349582,49.53,49.53,50.62
9164,Legionella pneumophila subsp. pneumophila (g-proteobacteria),NC_018141.1,150432,NC_018139.1,3467254,38.09,38.09,38.36
9165,Escherichia albertii (enterobacteria),NZ_CP030784.1,100341,NZ_CP030783.1,4809747,47.17,47.17,49.66
9166,Escherichia albertii (enterobacteria),NZ_CP030785.1,81110,NZ_CP030783.1,4809747,51.34,51.34,49.66
9167,Escherichia albertii (enterobacteria),NZ_CP030786.1,105845,NZ_CP030783.1,4809747,44.68,44.68,49.66
9168,Alteromonas stellipolaris (g-proteobacteria),NZ_CP013927.1,252173,NZ_CP013926.1,4652019,41.43,41.43,43.63
9169,Sphingopyxis macrogoltabida (a-proteobacteria),NZ_CP013345.1,421025,NZ_CP013344.1,5380888,62.72,62.72,64.93
9170,Sphingopyxis macrogoltabida (a-proteobacteria),NZ_CP013346.1,151240,NZ_CP013344.1,5380888,60.93,60.93,64.93
9171,Bacillus thuringiensis (firmicutes),NZ_CP009719.1,14648,NZ_CP009720.1,5213295,30.22,30.22,35.47
9172,Bacillus thuringiensis (firmicutes),NZ_CP009718.1,56203,NZ_CP009720.1,5213295,34.96,34.96,35.47
9173,Bacillus thuringiensis (firmicutes),NZ_CP009717.1,7243,NZ_CP009720.1,5213295,36.26,36.26,35.47
9174,Salmonella enterica subsp. enterica serovar Typhi (enterobacteria),NZ_CP029963.1,93445,NZ_CP029962.1,4783156,51.79,51.79,52.05
9175,Bacillus thuringiensis (firmicutes),NZ_CP009599.1,55939,NZ_CP009600.1,5256240,36.15,36.15,35.42
9176,Escherichia coli (E. coli),NZ_CP027367.1,125561,NZ_CP027366.1,5065883,50.8,50.8,50.87
9177,Moraxella osloensis (g-proteobacteria),NZ_AP017382.1,76124,NZ_AP017381.1,2445556,40.13,40.13,43.87
9178,Moraxella osloensis (g-proteobacteria),NZ_AP017383.1,62260,NZ_AP017381.1,2445556,41.56,41.56,43.87
9179,Moraxella osloensis (g-proteobacteria),NZ_AP017384.1,37064,NZ_AP017381.1,2445556,39.14,39.14,43.87
9180,Klebsiella pneumoniae (enterobacteria),NZ_CP020902.1,338512,NZ_CP020901.1,5380605,47.84,47.84,57.38
9181,Klebsiella pneumoniae (enterobacteria),NZ_CP020903.1,200365,NZ_CP020901.1,5380605,52.39,52.39,57.38
9182,Klebsiella pneumoniae (enterobacteria),NZ_CP020904.1,120533,NZ_CP020901.1,5380605,52.29,52.29,57.38
9183,Klebsiella pneumoniae (enterobacteria),NZ_CP020905.1,41111,NZ_CP020901.1,5380605,42.71,42.71,57.38
9184,Yersinia pestis CO92 (enterobacteria),NZ_CP009972.1,70305,NZ_CP009973.1,4556337,44.84,44.84,47.58
9185,Yersinia pestis CO92 (enterobacteria),NZ_CP009971.1,96210,NZ_CP009973.1,4556337,50.23,50.23,47.58
9186,Escherichia coli O25b:H4 (E. coli),NZ_CP015086.1,130920,NZ_CP015085.1,5289898,52.6,52.6,50.73
9187,Lactobacillus plantarum (firmicutes),NZ_CP032649.1,41517,NZ_CP032648.1,3213092,39.47,39.47,44.64
9188,Lactobacillus plantarum (firmicutes),NZ_CP032650.1,32970,NZ_CP032648.1,3213092,39.9,39.9,44.64
9189,Lactobacillus plantarum (firmicutes),NZ_CP032651.1,16201,NZ_CP032648.1,3213092,39.08,39.08,44.64
9190,Klebsiella pneumoniae (enterobacteria),NZ_CP012989.1,134064,NZ_CP012987.1,5307114,51.83,51.83,57.42
9191,Klebsiella pneumoniae (enterobacteria),NZ_CP012990.1,46161,NZ_CP012987.1,5307114,46.65,46.65,57.42
9192,Klebsiella pneumoniae (enterobacteria),NZ_CP012991.1,3223,NZ_CP012987.1,5307114,56.28,56.28,57.42
9193,Klebsiella pneumoniae (enterobacteria),NZ_CP012988.3,190072,NZ_CP012987.1,5307114,51.74,51.74,57.42
9194,Bacillus amyloliquefaciens IT-45 (firmicutes),NC_020273.1,8009,NC_020272.1,3928857,40.47,40.47,46.62
9195,Salmonella enterica (enterobacteria),NZ_CP015725.1,210106,NZ_CP015724.1,4791723,48.56,48.56,52.08
9196,Klebsiella pneumoniae (enterobacteria),NZ_CP024497.1,212097,NZ_CP024496.1,5232513,44.19,44.19,57.59
9197,Klebsiella pneumoniae (enterobacteria),NZ_CP024498.1,4064,NZ_CP024496.1,5232513,35.31,35.31,57.59
9198,Klebsiella pneumoniae (enterobacteria),NZ_CP024546.1,110374,NZ_CP024545.1,5337491,52.23,52.23,57.41
9199,Klebsiella pneumoniae (enterobacteria),NZ_CP024547.1,71587,NZ_CP024545.1,5337491,54.2,54.2,57.41
9200,Bacillus thuringiensis (firmicutes),NZ_CP010087.1,76848,NZ_CP010088.1,5235838,32.61,32.61,35.4
9201,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007612.1,12003,NZ_CP007607.1,5607837,31.83,31.83,35.3
9202,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007608.1,2062,NZ_CP007607.1,5607837,34.82,34.82,35.3
9203,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007615.1,293574,NZ_CP007607.1,5607837,33.17,33.17,35.3
9204,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007616.1,416210,NZ_CP007607.1,5607837,32.52,32.52,35.3
9205,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007613.1,69416,NZ_CP007607.1,5607837,34.32,34.32,35.3
9206,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007609.1,7921,NZ_CP007607.1,5607837,32.33,32.33,35.3
9207,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007610.1,8240,NZ_CP007607.1,5607837,29.73,29.73,35.3
9208,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007611.1,8513,NZ_CP007607.1,5607837,30.79,30.79,35.3
9209,Bacillus thuringiensis serovar kurstaki str. YBT-1520 (firmicutes),NZ_CP007614.1,94637,NZ_CP007607.1,5607837,31.47,31.47,35.3
9210,Bacillus velezensis (firmicutes),NZ_CP033053.1,8648,NZ_CP033054.1,4226250,40.67,40.67,45.88
9211,Clostridium pasteurianum BC1 (firmicutes),NC_021183.1,53393,NC_021182.1,4990707,28.94,28.94,30.58
9212,Escherichia coli (E. coli),NZ_CP015075.2,63544,NZ_CP015074.2,4977366,51.21,51.21,50.75
9213,Cupriavidus metallidurans (b-proteobacteria),NZ_CP026545.1,30753,NZ_CP026544.1,6543877,62.64,62.64,63.79
9214,Cupriavidus metallidurans (b-proteobacteria),NZ_CP026546.1,197700,NZ_CP026544.1,6543877,59.48,59.48,63.79
9215,Cupriavidus metallidurans (b-proteobacteria),NZ_CP026547.1,180778,NZ_CP026544.1,6543877,59.51,59.51,63.79
9216,Legionella pneumophila (g-proteobacteria),NZ_CP021271.1,56208,NZ_CP021270.1,3363033,36.98,36.98,38.25
9217,Sinorhizobium meliloti 2011 (a-proteobacteria),NC_020527.1,1352561,NC_020528.1,3657276,60.37,60.37,62.72
9218,Sinorhizobium meliloti 2011 (a-proteobacteria),NC_020560.1,1683348,NC_020528.1,3657276,62.42,62.42,62.72
9219,Salinibacter ruber (CFB group bacteria),NZ_CP030370.1,31647,NZ_CP030369.1,3742583,58.42,58.42,66.0
9220,Salinibacter ruber (CFB group bacteria),NZ_CP030373.1,47380,NZ_CP030369.1,3742583,58.8,58.8,66.0
9221,Salinibacter ruber (CFB group bacteria),NZ_CP030371.1,60522,NZ_CP030369.1,3742583,60.95,60.95,66.0
9222,Salinibacter ruber (CFB group bacteria),NZ_CP030372.1,67226,NZ_CP030369.1,3742583,59.53,59.53,66.0
9223,Nitratireductor sp. OM-1 (a-proteobacteria),NZ_CP029209.1,857937,NZ_CP029208.1,3977827,61.38,61.38,62.06
9224,Geminocystis sp. NIES-3708 (cyanobacteria),NZ_AP014816.1,60790,NZ_AP014815.1,3883409,31.94,31.94,32.28
9225,Geminocystis sp. NIES-3708 (cyanobacteria),NZ_AP014817.1,57874,NZ_AP014815.1,3883409,34.84,34.84,32.28
9226,Geminocystis sp. NIES-3708 (cyanobacteria),NZ_AP014818.1,17905,NZ_AP014815.1,3883409,31.02,31.02,32.28
9227,Geminocystis sp. NIES-3708 (cyanobacteria),NZ_AP014819.1,16994,NZ_AP014815.1,3883409,29.3,29.3,32.28
9228,Geminocystis sp. NIES-3708 (cyanobacteria),NZ_AP014820.1,5106,NZ_AP014815.1,3883409,26.75,26.75,32.28
9229,Escherichia coli (E. coli),NZ_CP010184.1,200925,NZ_CP010183.1,4940434,47.1,47.1,50.81
9230,Escherichia coli (E. coli),NZ_CP010185.1,4980,NZ_CP010183.1,4940434,45.4,45.4,50.81
9231,Klebsiella pneumoniae (enterobacteria),NZ_CP017386.1,155781,NZ_CP017385.1,5367386,53.02,53.02,57.38
9232,Klebsiella pneumoniae (enterobacteria),NZ_CP017387.1,225962,NZ_CP017385.1,5367386,51.03,51.03,57.38
9233,Klebsiella pneumoniae (enterobacteria),NZ_CP017388.1,10077,NZ_CP017385.1,5367386,55.08,55.08,57.38
9234,Pseudomonas syringae pv. actinidiae (g-proteobacteria),NZ_CP024713.1,68316,NZ_CP024712.1,6556999,55.66,55.66,58.41
9235,Pseudomonas syringae pv. actinidiae (g-proteobacteria),NZ_CP024714.1,68156,NZ_CP024712.1,6556999,56.1,56.1,58.41
9236,Leptospira interrogans serovar Manilae (bacteria),NZ_CP011933.1,70055,NZ_CP011931.1,4238972,34.54,34.54,35.0
9237,Bacillus pseudofirmus OF4 (firmicutes),NC_013792.1,285222,NC_013791.2,3858997,35.98,35.98,40.27
9238,Bacillus pseudofirmus OF4 (firmicutes),NC_013793.1,105029,NC_013791.2,3858997,35.45,35.45,40.27
9239,Escherichia coli (E. coli),NZ_CP027220.1,94104,NZ_CP027219.1,5500189,47.75,47.75,50.74
9240,Escherichia coli (E. coli),NZ_CP028430.1,117123,NZ_CP028429.1,5238870,46.57,46.57,50.6
9241,Escherichia coli (E. coli),NZ_CP028431.1,76698,NZ_CP028429.1,5238870,50.19,50.19,50.6
9242,Melissococcus plutonius DAT561 (firmicutes),NC_018265.1,199075,NC_016938.1,1846178,29.1,29.1,31.45
9243,Burkholderia vietnamiensis (b-proteobacteria),NZ_CP020393.1,102598,NZ_CP020394.1,3317400,59.51,59.51,66.76
9244,Acinetobacter baumannii ZW85-1 (g-proteobacteria),NC_023031.1,113866,NC_023028.1,3763012,41.9,41.9,39.07
9245,Acinetobacter baumannii ZW85-1 (g-proteobacteria),NC_019985.2,48368,NC_023028.1,3763012,40.75,40.75,39.07
9246,Spiroplasma taiwanense CT-1 (mycoplasmas),NC_021832.1,11138,NC_021846.1,1075140,23.01,23.01,23.87
9247,Nitrosomonas sp. AL212 (b-proteobacteria),NC_015223.1,92707,NC_015222.1,3180526,42.84,42.84,44.84
9248,Nitrosomonas sp. AL212 (b-proteobacteria),NC_015221.1,63790,NC_015222.1,3180526,45.39,45.39,44.84
9249,Mycobacterium liflandii 128FXT (high GC Gram+),NC_011355.1,190588,NC_020133.1,6208955,62.88,62.88,65.62
9250,Klebsiella pneumoniae KCTC 2242 (enterobacteria),NC_017541.1,202852,NC_017540.1,5259571,50.17,50.17,57.55
9251,Enterobacter cloacae (enterobacteria),NZ_CP009855.1,111232,NZ_CP009854.1,4626882,53.02,53.02,55.19
9252,Enterobacter cloacae (enterobacteria),NZ_CP009856.1,61419,NZ_CP009854.1,4626882,55.1,55.1,55.19
9253,Enterobacter cloacae (enterobacteria),NZ_CP009857.1,77575,NZ_CP009854.1,4626882,50.71,50.71,55.19
9254,Enterobacter cloacae (enterobacteria),NZ_CP009858.1,50333,NZ_CP009854.1,4626882,52.17,52.17,55.19
9255,Staphylococcus nepalensis (firmicutes),NZ_CP017467.1,40183,NZ_CP017466.1,2941886,29.68,29.68,33.1
9256,Staphylococcus nepalensis (firmicutes),NZ_CP017468.1,25678,NZ_CP017466.1,2941886,34.55,34.55,33.1
9257,Raoultella ornithinolytica (enterobacteria),NZ_CP021328.1,446611,NZ_CP021329.1,5497740,48.69,48.69,55.76
9258,Citrobacter freundii (enterobacteria),NZ_CP024882.1,115736,NZ_CP024881.1,4919453,48.4,48.4,51.84
9259,Bacillus anthracis (firmicutes),NZ_CP010853.1,181663,NZ_CP010852.1,5200257,32.53,32.53,35.39
9260,Bacillus anthracis (firmicutes),NZ_CP010854.1,95135,NZ_CP010852.1,5200257,33.05,33.05,35.39
9261,Escherichia coli (E. coli),NZ_CP024142.1,66596,NZ_CP024141.1,4981062,42.71,42.71,50.66
9262,Escherichia coli (E. coli),NZ_CP024143.1,254423,NZ_CP024141.1,4981062,46.82,46.82,50.66
9263,Escherichia coli (E. coli),NZ_CP024144.1,96973,NZ_CP024141.1,4981062,51.46,51.46,50.66
9264,Escherichia coli (E. coli),NZ_CP024145.1,106478,NZ_CP024141.1,4981062,48.6,48.6,50.66
9265,Escherichia coli (E. coli),NZ_CP024146.1,88553,NZ_CP024141.1,4981062,50.37,50.37,50.66
9266,Escherichia coli UTI89 (E. coli),NC_007941.1,114230,NC_007946.1,5065741,51.03,51.03,50.6
9267,Escherichia coli (E. coli),NZ_CP020117.1,107210,NZ_CP020116.1,4992088,52.32,52.32,50.8
9268,Escherichia coli (E. coli),NZ_CP020118.1,111212,NZ_CP020116.1,4992088,46.28,46.28,50.8
9269,Escherichia coli (E. coli),NZ_CP020119.1,51515,NZ_CP020116.1,4992088,52.86,52.86,50.8
9270,Escherichia coli O104:H4 (E. coli),NZ_CP027395.1,117229,NZ_CP027394.1,5277316,49.91,49.91,50.72
9271,Escherichia coli O104:H4 (E. coli),NZ_CP027392.1,75562,NZ_CP027394.1,5277316,47.16,47.16,50.72
9272,Escherichia coli O104:H4 (E. coli),NZ_CP027396.1,18636,NZ_CP027394.1,5277316,47.33,47.33,50.72
9273,Escherichia coli O104:H4 (E. coli),NZ_CP027393.1,12402,NZ_CP027394.1,5277316,51.4,51.4,50.72
9274,pitutaceae bacterium TAV5 (verrucomicrobia),NZ_CP007054.1,99831,NZ_CP007053.1,7317842,54.44,54.44,63.57
9275,Thauera sp. K11 (b-proteobacteria),NZ_CP023440.1,140963,NZ_CP023439.1,5150567,63.61,63.61,67.78
9276,Clostridium botulinum (firmicutes),NZ_CP013848.1,42784,NZ_CP013847.1,4116856,27.97,27.97,28.23
9277,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP018851.1,213743,NZ_CP018850.1,5148274,59.17,59.17,64.82
9278,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP018852.1,94139,NZ_CP018850.1,5148274,61.38,61.38,64.82
9279,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP018853.1,49382,NZ_CP018850.1,5148274,62.52,62.52,64.82
9280,Corynebacterium aurimucosum ATCC 700975 (high GC Gram+),NC_010813.1,29037,NC_012590.1,2790189,53.32,53.32,60.63
9281,Campylobacter jejuni (e-proteobacteria),NZ_CP028186.1,66602,NZ_CP028185.1,1831911,31.83,31.83,30.15
9282,chrobactrum sp. A44 (a-proteobacteria),NZ_CP022605.1,1032012,NZ_CP022604.1,2585393,52.08,52.08,53.59
9283,chrobactrum sp. A44 (a-proteobacteria),NZ_CP022602.1,19701,NZ_CP022604.1,2585393,50.67,50.67,53.59
9284,Staphylococcus aureus (firmicutes),NZ_CP014427.1,3125,NZ_CP014426.1,2919827,28.74,28.74,32.79
9285,Staphylococcus aureus (firmicutes),NZ_CP014428.1,27068,NZ_CP014426.1,2919827,30.53,30.53,32.79
9286,Fusobacterium nucleatum subsp. animalis 7_1 (fusobacteria),NZ_CP007063.1,6309,NZ_CP007062.1,2507720,23.01,23.01,26.97
9287,Sinorhizobium meliloti (a-proteobacteria),NZ_CP021811.1,247065,NZ_CP021808.1,3678504,59.35,59.35,62.75
9288,Sinorhizobium meliloti (a-proteobacteria),NZ_CP021809.1,1549593,NZ_CP021808.1,3678504,60.54,60.54,62.75
9289,Sinorhizobium meliloti (a-proteobacteria),NZ_CP021810.1,1665079,NZ_CP021808.1,3678504,62.33,62.33,62.75
9290,Roseobacter litoralis Och 149 (a-proteobacteria),NC_015729.1,63532,NC_015730.1,4505211,55.24,55.24,57.21
9291,Roseobacter litoralis Och 149 (a-proteobacteria),NC_015728.1,83129,NC_015730.1,4505211,58.82,58.82,57.21
9292,Roseobacter litoralis Och 149 (a-proteobacteria),NC_015741.1,93578,NC_015730.1,4505211,58.37,58.37,57.21
9293,Lactobacillus pentosus (firmicutes),NZ_CP022131.1,62498,NZ_CP022130.1,3520510,41.34,41.34,46.49
9294,Fusobacterium hwasookii ChDC F174 (fusobacteria),NZ_CP013332.1,52443,NZ_CP013331.1,2463707,23.86,23.86,27.19
9295,Fusobacterium hwasookii ChDC F174 (fusobacteria),NZ_CP013333.1,15572,NZ_CP013331.1,2463707,24.83,24.83,27.19
9296,Polaromonas naphthalenivorans CJ2 (b-proteobacteria),NC_008757.1,353291,NC_008781.1,4410291,57.55,57.55,62.53
9297,Polaromonas naphthalenivorans CJ2 (b-proteobacteria),NC_008758.1,190172,NC_008781.1,4410291,58.01,58.01,62.53
9298,Polaromonas naphthalenivorans CJ2 (b-proteobacteria),NC_008759.1,171866,NC_008781.1,4410291,56.89,56.89,62.53
9299,Polaromonas naphthalenivorans CJ2 (b-proteobacteria),NC_008760.1,143747,NC_008781.1,4410291,58.99,58.99,62.53
9300,Polaromonas naphthalenivorans CJ2 (b-proteobacteria),NC_008761.1,58808,NC_008781.1,4410291,59.56,59.56,62.53
9301,Polaromonas naphthalenivorans CJ2 (b-proteobacteria),NC_008762.1,21611,NC_008781.1,4410291,55.67,55.67,62.53
9302,Polaromonas naphthalenivorans CJ2 (b-proteobacteria),NC_008763.1,9898,NC_008781.1,4410291,57.05,57.05,62.53
9303,Polaromonas naphthalenivorans CJ2 (b-proteobacteria),NC_008764.1,6459,NC_008781.1,4410291,52.13,52.13,62.53
9304,Anaerococcus prevotii DSM 20548 (firmicutes),NC_013164.1,115566,NC_013171.1,1883067,28.63,28.63,36.07
9305,Shewanella sp. FDAARGOS_354 (g-proteobacteria),NZ_CP022090.2,38118,NZ_CP022089.2,5031863,43.25,43.25,46.37
9306,Acinetobacter baumannii (g-proteobacteria),NZ_CP019218.1,64554,NZ_CP019217.1,3909773,33.54,33.54,39.02
9307,Enterococcus faecium (firmicutes),NZ_CP023790.1,199068,NZ_CP023789.1,2867770,35.29,35.29,38.04
9308,Enterococcus faecium (firmicutes),NZ_CP023791.1,40911,NZ_CP023789.1,2867770,35.81,35.81,38.04
9309,Enterococcus faecium (firmicutes),NZ_CP023792.1,10647,NZ_CP023789.1,2867770,32.91,32.91,38.04
9310,Enterococcus faecium (firmicutes),NZ_CP023793.1,4374,NZ_CP023789.1,2867770,36.88,36.88,38.04
9311,Acetobacter pasteurianus IFO 3283-26 (a-proteobacteria),NC_017130.1,191419,NC_017146.1,2907309,53.37,53.37,53.04
9312,Acetobacter pasteurianus IFO 3283-26 (a-proteobacteria),NC_017131.1,182940,NC_017146.1,2907309,53.5,53.5,53.04
9313,Acetobacter pasteurianus IFO 3283-26 (a-proteobacteria),NC_017147.1,49961,NC_017146.1,2907309,53.88,53.88,53.04
9314,Acetobacter pasteurianus IFO 3283-26 (a-proteobacteria),NC_017132.1,3204,NC_017146.1,2907309,53.75,53.75,53.04
9315,Acetobacter pasteurianus IFO 3283-26 (a-proteobacteria),NC_017148.1,3035,NC_017146.1,2907309,55.78,55.78,53.04
9316,Acetobacter pasteurianus IFO 3283-26 (a-proteobacteria),NC_017133.1,1815,NC_017146.1,2907309,58.57,58.57,53.04
9317,Neisseria gonorrhoeae NCCP11945 (b-proteobacteria),NC_011034.1,4153,NC_011035.1,2232025,51.48,51.48,52.37
9318,Bacillus anthracis str. H9401 (firmicutes),NC_017726.1,181700,NC_017729.1,5218947,32.53,32.53,35.37
9319,Bacillus anthracis str. H9401 (firmicutes),NC_017727.1,94824,NC_017729.1,5218947,33.05,33.05,35.37
9320,Pantoea vagans (enterobacteria),NZ_CP022517.1,526773,NZ_CP020820.1,4023751,52.38,52.38,54.86
9321,Pantoea vagans (enterobacteria),NZ_CP022518.1,196103,NZ_CP020820.1,4023751,50.74,50.74,54.86
9322,Pantoea vagans (enterobacteria),NZ_CP022519.1,130944,NZ_CP020820.1,4023751,51.74,51.74,54.86
9323,Pantoea vagans (enterobacteria),NZ_CP022520.1,72356,NZ_CP020820.1,4023751,53.25,53.25,54.86
9324,Bacillus subtilis subsp. subtilis (firmicutes),NZ_CP032854.1,24698,NZ_CP032853.1,4184648,39.6,39.6,43.27
9325,Bacillus velezensis (firmicutes),NZ_CP025940.1,13003,NZ_CP025939.1,4326822,43.74,43.74,46.08
9326,Sulfuriferula sp. AH1 (b-proteobacteria),NZ_CP021139.1,39138,NZ_CP021138.1,2877007,60.79,60.79,54.91
9327,Bacillus safensis (firmicutes),NZ_CP015608.1,58536,NZ_CP015607.1,4070488,32.06,32.06,41.41
9328,Bacillus safensis (firmicutes),NZ_CP015609.1,22301,NZ_CP015607.1,4070488,65.12,65.12,41.41
9329,Enterobacter hormaechei subsp. steigerwaltii (enterobacteria),NZ_CP010383.2,106410,NZ_CP012167.1,4688189,51.87,51.87,55.67
9330,Enterobacter hormaechei subsp. steigerwaltii (enterobacteria),NZ_CP012169.1,210894,NZ_CP012167.1,4688189,52.92,52.92,55.67
9331,Enterobacter hormaechei subsp. steigerwaltii (enterobacteria),NZ_CP012168.1,239973,NZ_CP012167.1,4688189,55.04,55.04,55.67
9332,Enterobacter hormaechei subsp. steigerwaltii (enterobacteria),NZ_CP010381.1,4921,NZ_CP012167.1,4688189,54.91,54.91,55.67
9333,Enterobacter hormaechei subsp. steigerwaltii (enterobacteria),NZ_CP010382.1,53129,NZ_CP012167.1,4688189,51.66,51.66,55.67
9334,Escherichia coli ETEC H10407 (E. coli),NC_017721.1,5175,NC_017633.1,5153435,48.39,48.39,50.76
9335,Escherichia coli ETEC H10407 (E. coli),NC_017723.1,5800,NC_017633.1,5153435,48.88,48.88,50.76
9336,Escherichia coli ETEC H10407 (E. coli),NC_017722.1,66681,NC_017633.1,5153435,51.03,51.03,50.76
9337,Escherichia coli ETEC H10407 (E. coli),NC_017724.1,94797,NC_017633.1,5153435,46.91,46.91,50.76
9338,Escherichia coli (E. coli),NZ_CP016547.1,86371,NZ_CP016546.1,5134536,43.09,43.09,50.64
9339,Escherichia coli (E. coli),NZ_CP016548.1,90835,NZ_CP016546.1,5134536,52.56,52.56,50.64
9340,Escherichia coli (E. coli),NZ_CP016549.1,126046,NZ_CP016546.1,5134536,47.93,47.93,50.64
9341,Escherichia coli (E. coli),NZ_CP016550.1,49695,NZ_CP016546.1,5134536,42.5,42.5,50.64
9342,Escherichia coli (E. coli),NZ_CP016551.1,7395,NZ_CP016546.1,5134536,44.08,44.08,50.64
9343,Escherichia coli (E. coli),NZ_CP018994.1,154853,NZ_CP018995.1,4708839,51.6,51.6,50.81
9344,Escherichia coli (E. coli),NZ_CP018993.1,116562,NZ_CP018995.1,4708839,50.54,50.54,50.81
9345,Escherichia coli (E. coli),NZ_CP018992.1,110226,NZ_CP018995.1,4708839,53.81,53.81,50.81
9346,Francisella tularensis subsp. novicida (g-proteobacteria),NZ_CP010104.1,41959,NZ_CP010103.1,2005074,28.23,28.23,32.35
9347,Lactobacillus salivarius (firmicutes),NZ_LT604075.1,244638,NZ_LT604074.1,1788723,32.27,32.27,32.98
9348,Hartmannibacter diazotrophicus (a-proteobacteria),NZ_LT960615.1,122332,NZ_LT960614.1,5327443,59.21,59.21,64.08
9349,Ralstonia solanacearum (b-proteobacteria),NZ_CP022773.1,1781111,NZ_CP022772.1,3716587,67.14,67.14,66.9
9350,Bacillus thuringiensis MC28 (firmicutes),NC_018686.1,183210,NC_018693.1,5414494,32.85,32.85,35.41
9351,Bacillus thuringiensis MC28 (firmicutes),NC_018687.1,189702,NC_018693.1,5414494,33.41,33.41,35.41
9352,Bacillus thuringiensis MC28 (firmicutes),NC_018688.1,319710,NC_018693.1,5414494,32.48,32.48,35.41
9353,Bacillus thuringiensis MC28 (firmicutes),NC_018689.1,429674,NC_018693.1,5414494,32.57,32.57,35.41
9354,Bacillus thuringiensis MC28 (firmicutes),NC_018694.1,54484,NC_018693.1,5414494,34.73,34.73,35.41
9355,Bacillus thuringiensis MC28 (firmicutes),NC_018684.1,7826,NC_018693.1,5414494,32.11,32.11,35.41
